image_id,image_uri,mark_type,box_x,box_y,box_width,box_height,true_distance_cm,source,captured_at,analysis_mode,target_object_type
sample_0000,samples/mobile-camera/image_0000.jpg,box,518.6,70.14,1020.78,850.91,12.49,mobile-camera,2026-08-11T03:00:00+00:00,distance,bicycle
sample_0001,samples/mobile-camera/image_0001.jpg,circle,890.63,726.93,624.94,258.75,23.57,mobile-camera,2026-04-20T03:00:00+00:00,distance,car
sample_0002,samples/mobile-camera/image_0002.jpg,circle,927.34,382.04,143.43,149.62,55.29,mobile-camera,2026-06-19T03:00:00+00:00,distance,box
sample_0003,samples/mobile-camera/image_0003.jpg,circle,958.62,194.68,306.74,131.57,72.86,mobile-camera,2026-06-25T21:00:00+00:00,distance,truck
sample_0004,samples/mobile-camera/image_0004.jpg,box,1161.0,429.89,169.36,116.91,100.21,mobile-camera,2026-07-03T21:00:00+00:00,distance,box
sample_0005,samples/mobile-camera/image_0005.jpg,box,790.67,213.08,95.48,195.73,158.66,mobile-camera,2026-07-25T17:00:00+00:00,distance,person
sample_0006,samples/mobile-camera/image_0006.jpg,box,936.98,53.97,569.15,967.83,14.0,mobile-camera,2026-07-25T07:00:00+00:00,distance,bicycle
sample_0007,samples/mobile-camera/image_0007.jpg,box,1341.3,367.7,434.02,456.63,38.68,mobile-camera,2026-04-03T16:00:00+00:00,distance,bicycle
sample_0008,samples/mobile-camera/image_0008.jpg,polygon,496.51,58.79,368.97,355.6,40.39,mobile-camera,2026-07-07T08:00:00+00:00,distance,box
sample_0009,samples/mobile-camera/image_0009.jpg,box,1303.32,612.34,404.83,318.46,75.15,mobile-camera,2026-06-29T10:00:00+00:00,distance,bicycle
sample_0010,samples/kaggle/image_0010.jpg,polygon,693.99,764.6,168.82,244.59,94.78,kaggle,2026-04-17T08:00:00+00:00,distance,box
sample_0011,samples/mobile-camera/image_0011.jpg,box,433.61,827.53,66.19,112.0,206.6,mobile-camera,2026-06-13T05:00:00+00:00,distance,truck
sample_0012,samples/mobile-camera/image_0012.jpg,polygon,277.59,230.06,845.43,789.03,7.79,mobile-camera,2026-07-19T09:00:00+00:00,distance,truck
sample_0013,samples/mobile-camera/image_0013.jpg,circle,733.85,212.53,331.6,235.96,35.61,mobile-camera,2026-06-24T22:00:00+00:00,distance,person
sample_0014,samples/kaggle/image_0014.jpg,circle,436.56,396.31,243.44,169.17,62.4,kaggle,2026-04-28T00:00:00+00:00,distance,box
sample_0015,samples/mobile-camera/image_0015.jpg,box,436.58,180.5,341.27,204.57,72.12,mobile-camera,2026-05-18T08:00:00+00:00,distance,truck
sample_0016,samples/mobile-camera/image_0016.jpg,circle,1170.52,619.47,182.57,180.49,81.62,mobile-camera,2026-06-30T00:00:00+00:00,distance,box
sample_0017,samples/mobile-camera/image_0017.jpg,box,661.62,641.63,92.46,47.35,246.49,mobile-camera,2026-06-10T15:00:00+00:00,distance,person
sample_0018,samples/kaggle/image_0018.jpg,box,482.52,210.2,685.2,318.47,16.06,kaggle,2026-04-09T05:00:00+00:00,distance,person
sample_0019,samples/mobile-camera/image_0019.jpg,circle,261.36,223.09,649.36,639.4,29.97,mobile-camera,2026-08-04T02:00:00+00:00,distance,truck
sample_0020,samples/kaggle/image_0020.jpg,box,535.92,94.94,469.74,512.72,45.51,kaggle,2026-07-31T15:00:00+00:00,distance,person
sample_0021,samples/mobile-camera/image_0021.jpg,polygon,1460.33,761.96,248.88,168.5,63.44,mobile-camera,2026-04-26T23:00:00+00:00,distance,person
sample_0022,samples/kaggle/image_0022.jpg,polygon,237.98,784.56,237.96,161.29,93.88,kaggle,2026-08-16T16:00:00+00:00,distance,car
sample_0023,samples/mobile-camera/image_0023.jpg,box,1450.9,636.37,197.15,228.12,152.38,mobile-camera,2026-05-31T05:00:00+00:00,distance,truck
sample_0024,samples/mobile-camera/image_0024.jpg,box,1111.47,515.44,644.13,501.97,18.38,mobile-camera,2026-07-29T13:00:00+00:00,distance,person
sample_0025,samples/mobile-camera/image_0025.jpg,box,117.86,390.35,732.18,290.89,31.21,mobile-camera,2026-04-17T16:00:00+00:00,distance,box
sample_0026,samples/mobile-camera/image_0026.jpg,circle,949.6,202.65,384.86,370.53,47.7,mobile-camera,2026-07-13T13:00:00+00:00,distance,box
sample_0027,samples/kaggle/image_0027.jpg,box,1058.77,565.69,233.77,209.07,82.65,kaggle,2026-08-28T11:00:00+00:00,distance,box
sample_0028,samples/kaggle/image_0028.jpg,box,1434.45,830.95,301.07,161.33,80.61,kaggle,2026-05-15T04:00:00+00:00,distance,car
sample_0029,samples/mobile-camera/image_0029.jpg,box,1663.91,746.87,97.05,163.05,239.25,mobile-camera,2026-08-17T15:00:00+00:00,distance,car
sample_0030,samples/mobile-camera/image_0030.jpg,box,1093.19,440.82,543.53,559.77,14.71,mobile-camera,2026-04-07T10:00:00+00:00,distance,person
sample_0031,samples/mobile-camera/image_0031.jpg,box,281.08,250.49,394.62,697.19,27.38,mobile-camera,2026-06-18T18:00:00+00:00,distance,person
sample_0032,samples/mobile-camera/image_0032.jpg,box,106.73,544.59,421.18,192.3,46.41,mobile-camera,2026-06-19T10:00:00+00:00,distance,truck
sample_0033,samples/mobile-camera/image_0033.jpg,box,951.35,79.71,247.78,153.39,68.45,mobile-camera,2026-07-01T13:00:00+00:00,distance,bicycle
sample_0034,samples/mobile-camera/image_0034.jpg,box,1429.12,364.79,104.24,106.05,94.77,mobile-camera,2026-06-06T11:00:00+00:00,distance,bicycle
sample_0035,samples/mobile-camera/image_0035.jpg,polygon,178.53,522.24,200.5,91.25,132.37,mobile-camera,2026-07-22T15:00:00+00:00,distance,truck
sample_0036,samples/mobile-camera/image_0036.jpg,box,1044.17,202.86,532.64,415.61,24.52,mobile-camera,2026-08-26T17:00:00+00:00,distance,bicycle
sample_0037,samples/mobile-camera/image_0037.jpg,box,584.82,138.02,534.49,472.11,44.07,mobile-camera,2026-04-21T07:00:00+00:00,distance,car
sample_0038,samples/kaggle/image_0038.jpg,box,997.53,341.4,354.12,311.15,63.37,kaggle,2026-06-09T23:00:00+00:00,distance,person
sample_0039,samples/mobile-camera/image_0039.jpg,circle,242.3,118.94,169.91,247.77,63.97,mobile-camera,2026-05-22T03:00:00+00:00,distance,bicycle
sample_0040,samples/mobile-camera/image_0040.jpg,box,579.01,342.84,336.79,349.8,80.43,mobile-camera,2026-08-11T03:00:00+00:00,distance,bicycle
sample_0041,samples/mobile-camera/image_0041.jpg,box,875.79,684.91,178.09,238.7,106.8,mobile-camera,2026-04-21T16:00:00+00:00,distance,person
sample_0042,samples/mobile-camera/image_0042.jpg,polygon,837.8,190.93,630.47,734.21,22.34,mobile-camera,2026-06-08T04:00:00+00:00,distance,box
sample_0043,samples/mobile-camera/image_0043.jpg,box,332.48,178.69,595.2,510.28,35.65,mobile-camera,2026-07-16T02:00:00+00:00,distance,bicycle
sample_0044,samples/mobile-camera/image_0044.jpg,box,658.68,449.67,270.39,393.64,55.46,mobile-camera,2026-05-05T09:00:00+00:00,distance,truck
sample_0045,samples/mobile-camera/image_0045.jpg,box,1140.18,531.06,304.93,381.28,77.42,mobile-camera,2026-08-02T15:00:00+00:00,distance,car
sample_0046,samples/mobile-camera/image_0046.jpg,circle,612.16,658.09,343.29,196.79,100.17,mobile-camera,2026-08-22T08:00:00+00:00,distance,bicycle
sample_0047,samples/mobile-camera/image_0047.jpg,box,690.4,527.89,156.99,85.62,201.98,mobile-camera,2026-04-30T02:00:00+00:00,distance,bicycle
sample_0048,samples/kaggle/image_0048.jpg,polygon,1241.92,-20.71,372.03,1179.25,7.0,kaggle,2026-05-06T10:00:00+00:00,distance,truck
sample_0049,samples/mobile-camera/image_0049.jpg,circle,993.64,459.14,236.63,241.09,32.33,mobile-camera,2026-05-15T06:00:00+00:00,distance,car
sample_0050,samples/kaggle/image_0050.jpg,box,829.91,397.79,391.75,192.3,42.28,kaggle,2026-05-02T06:00:00+00:00,distance,person
sample_0051,samples/kaggle/image_0051.jpg,box,233.81,103.3,396.79,346.26,63.57,kaggle,2026-07-28T10:00:00+00:00,distance,person
sample_0052,samples/mobile-camera/image_0052.jpg,polygon,1683.53,373.39,115.03,115.93,97.66,mobile-camera,2026-05-26T04:00:00+00:00,distance,car
sample_0053,samples/mobile-camera/image_0053.jpg,circle,1358.61,563.33,100.48,60.72,213.01,mobile-camera,2026-04-08T04:00:00+00:00,distance,box
sample_0054,samples/mobile-camera/image_0054.jpg,polygon,211.73,118.94,779.68,393.39,5.23,mobile-camera,2026-07-09T19:00:00+00:00,distance,bicycle
sample_0055,samples/kaggle/image_0055.jpg,box,1308.14,204.42,329.09,289.36,44.05,kaggle,2026-06-17T04:00:00+00:00,distance,bicycle
sample_0056,samples/mobile-camera/image_0056.jpg,box,1522.74,160.16,172.06,544.57,48.07,mobile-camera,2026-08-19T16:00:00+00:00,distance,car
sample_0057,samples/mobile-camera/image_0057.jpg,box,958.12,658.66,251.41,304.57,77.39,mobile-camera,2026-08-23T23:00:00+00:00,distance,truck
sample_0058,samples/mobile-camera/image_0058.jpg,box,819.4,345.02,168.55,145.08,95.5,mobile-camera,2026-05-01T19:00:00+00:00,distance,car
sample_0059,samples/mobile-camera/image_0059.jpg,box,593.36,760.58,126.07,106.83,247.93,mobile-camera,2026-08-17T12:00:00+00:00,distance,box
sample_0060,samples/kaggle/image_0060.jpg,box,1241.15,83.15,478.51,579.41,23.81,kaggle,2026-08-11T22:00:00+00:00,distance,bicycle
sample_0061,samples/kaggle/image_0061.jpg,box,1179.13,245.14,624.75,462.04,30.28,kaggle,2026-07-28T10:00:00+00:00,distance,box
sample_0062,samples/mobile-camera/image_0062.jpg,polygon,307.82,61.25,167.36,156.9,54.23,mobile-camera,2026-06-09T12:00:00+00:00,distance,bicycle
sample_0063,samples/mobile-camera/image_0063.jpg,box,1475.65,606.31,263.93,325.25,84.92,mobile-camera,2026-04-03T02:00:00+00:00,distance,car
sample_0064,samples/mobile-camera/image_0064.jpg,box,1280.01,79.51,161.19,350.66,86.87,mobile-camera,2026-04-29T01:00:00+00:00,distance,person
sample_0065,samples/mobile-camera/image_0065.jpg,polygon,1344.36,892.14,195.77,110.0,171.43,mobile-camera,2026-04-26T23:00:00+00:00,distance,car
sample_0066,samples/kaggle/image_0066.jpg,polygon,828.74,154.96,580.21,849.62,14.6,kaggle,2026-07-28T21:00:00+00:00,distance,person
sample_0067,samples/mobile-camera/image_0067.jpg,box,210.45,424.21,506.26,464.85,35.2,mobile-camera,2026-04-23T13:00:00+00:00,distance,truck
sample_0068,samples/mobile-camera/image_0068.jpg,box,283.41,488.72,472.9,506.52,55.55,mobile-camera,2026-07-18T01:00:00+00:00,distance,bicycle
sample_0069,samples/mobile-camera/image_0069.jpg,box,968.1,323.55,222.37,179.13,75.52,mobile-camera,2026-08-22T13:00:00+00:00,distance,box
sample_0070,samples/mobile-camera/image_0070.jpg,circle,750.1,666.82,140.79,274.51,97.44,mobile-camera,2026-07-21T17:00:00+00:00,distance,bicycle
sample_0071,samples/mobile-camera/image_0071.jpg,box,614.77,76.62,239.15,142.98,133.58,mobile-camera,2026-07-09T17:00:00+00:00,distance,truck
sample_0072,samples/mobile-camera/image_0072.jpg,polygon,554.32,100.49,307.25,432.89,22.88,mobile-camera,2026-07-29T22:00:00+00:00,distance,box
sample_0073,samples/kaggle/image_0073.jpg,box,228.18,226.77,203.35,684.04,29.43,kaggle,2026-04-02T03:00:00+00:00,distance,person
sample_0074,samples/kaggle/image_0074.jpg,circle,150.47,180.55,344.14,462.83,49.22,kaggle,2026-06-13T22:00:00+00:00,distance,box
sample_0075,samples/kaggle/image_0075.jpg,box,605.38,125.4,447.52,260.98,60.76,kaggle,2026-05-25T00:00:00+00:00,distance,car
sample_0076,samples/mobile-camera/image_0076.jpg,polygon,1455.53,549.59,197.83,138.37,85.29,mobile-camera,2026-05-19T17:00:00+00:00,distance,bicycle
sample_0077,samples/mobile-camera/image_0077.jpg,box,1227.25,378.37,207.81,219.28,113.04,mobile-camera,2026-05-25T09:00:00+00:00,distance,truck
sample_0078,samples/mobile-camera/image_0078.jpg,box,527.63,401.8,425.52,603.21,17.15,mobile-camera,2026-08-21T13:00:00+00:00,distance,truck
sample_0079,samples/mobile-camera/image_0079.jpg,box,1291.24,102.62,391.63,324.19,24.66,mobile-camera,2026-05-09T07:00:00+00:00,distance,truck
sample_0080,samples/mobile-camera/image_0080.jpg,box,1289.92,356.99,345.18,604.28,42.8,mobile-camera,2026-07-19T05:00:00+00:00,distance,box
sample_0081,samples/mobile-camera/image_0081.jpg,box,506.46,594.37,268.23,272.56,83.23,mobile-camera,2026-05-01T03:00:00+00:00,distance,box
sample_0082,samples/mobile-camera/image_0082.jpg,box,1050.73,295.71,163.01,128.69,92.69,mobile-camera,2026-07-30T12:00:00+00:00,distance,truck
sample_0083,samples/kaggle/image_0083.jpg,box,322.41,105.13,65.32,110.1,179.89,kaggle,2026-06-07T11:00:00+00:00,distance,person
sample_0084,samples/mobile-camera/image_0084.jpg,box,612.1,75.92,860.24,925.04,10.09,mobile-camera,2026-06-06T20:00:00+00:00,distance,car
sample_0085,samples/mobile-camera/image_0085.jpg,box,904.25,756.07,619.59,227.54,40.77,mobile-camera,2026-06-17T07:00:00+00:00,distance,truck
sample_0086,samples/mobile-camera/image_0086.jpg,box,1124.07,519.81,439.17,410.63,59.54,mobile-camera,2026-07-19T05:00:00+00:00,distance,person
sample_0087,samples/mobile-camera/image_0087.jpg,box,1166.7,369.65,413.73,252.1,68.97,mobile-camera,2026-05-14T14:00:00+00:00,distance,car
sample_0088,samples/mobile-camera/image_0088.jpg,box,672.84,466.9,256.74,196.14,90.97,mobile-camera,2026-04-09T05:00:00+00:00,distance,box
sample_0089,samples/mobile-camera/image_0089.jpg,box,322.73,760.6,120.73,85.07,240.97,mobile-camera,2026-04-18T11:00:00+00:00,distance,box
sample_0090,samples/mobile-camera/image_0090.jpg,polygon,917.36,98.25,670.19,642.91,24.95,mobile-camera,2026-06-09T02:00:00+00:00,distance,bicycle
